instruction,e8_m1,e8_m2,e8_m4,e8_m8,e16_m1,e16_m2,e16_m4,e16_m8,e32_m1,e32_m2,e32_m4,e32_m8
"vadd.vv v8,v16,v24","0,5","0,975",2,4,"0,525",1,"1,975",4,"0,525",1,2,"3,975"
"vadd.vv v8,v16,v24,v0.t","0,55","1,025",2,4,"0,475",1,2,"3,975","0,5","0,975","1,975",4
"vadd.vx v8,v16,t0","2,375","2,375","3,025",5,"2,35","2,35",3,5,"2,35","2,35","3,025",5
"vadd.vx v8,v16,t0,v0.t","2,325","2,325",3,"5,025","2,325","2,325",3,5,"2,325","2,325","2,975",5
"vadd.vi v8,v16,13","0,5","0,975",2,4,"0,525",1,"1,975",4,"0,525",1,2,"3,975"
"vadd.vi v8,v16,13,v0.t","0,55","1,025",2,4,"0,475",1,2,"3,975","0,5","0,975","1,975",4
"vsub.vv v8,v16,v24","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,5",1,2,"4,025"
"vsub.vv v8,v16,v24,v0.t","0,475",1,2,"3,975","0,475","0,975",2,4,"0,55","1,025",2,4
"vsub.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,3","2,3","2,975",5
"vsub.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325","2,975",5,"2,35","2,35","3,025",5
"vrsub.vx v8,v16,t0","2,375","2,375","3,025",5,"2,35","2,35",3,5,"2,35","2,35","3,025",5
"vrsub.vx v8,v16,t0,v0.t","2,325","2,325",3,"5,025","2,325","2,325",3,5,"2,325","2,325","2,975",5
"vrsub.vi v8,v16,13","0,5","0,975",2,4,"0,525",1,"1,975",4,"0,525",1,2,"3,975"
"vrsub.vi v8,v16,13,v0.t","0,55","1,025",2,4,"0,475",1,2,"3,975","0,5","0,975","1,975",4
"vminu.vv v8,v16,v24","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,5",1,2,"4,025"
"vminu.vv v8,v16,v24,v0.t","0,475",1,2,"3,975","0,475","0,975",2,4,"0,55","1,025",2,4
"vminu.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,3","2,3","2,975",5
"vminu.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325","2,975",5,"2,35","2,35","3,025",5
"vmin.vv v8,v16,v24","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,5",1,2,"4,025"
"vmin.vv v8,v16,v24,v0.t","0,475",1,2,"3,975","0,475","0,975",2,4,"0,55","1,025",2,4
"vmin.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,3","2,3","2,975",5
"vmin.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325","2,975",5,"2,35","2,35","3,025",5
"vmaxu.vv v8,v16,v24","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,5",1,2,"4,025"
"vmaxu.vv v8,v16,v24,v0.t","0,475",1,2,"3,975","0,475","0,975",2,4,"0,55","1,025",2,4
"vmaxu.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,3","2,3","2,975",5
"vmaxu.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325","2,975",5,"2,35","2,35","3,025",5
"vmax.vv v8,v16,v24","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,5",1,2,"4,025"
"vmax.vv v8,v16,v24,v0.t","0,475",1,2,"3,975","0,475","0,975",2,4,"0,55","1,025",2,4
"vmax.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,325","2,325",3,5
"vmax.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325","2,975",5,"2,325","2,325","2,975",5
"vand.vv v8,v16,v24","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,5","0,975",2,"4,025"
"vand.vv v8,v16,v24,v0.t","0,5",1,2,"3,975","0,5","0,975",2,4,"0,475","0,975",2,4
"vand.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,35","2,35",3,5
"vand.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325","2,975",5,"2,35","2,35","3,025",5
"vand.vi v8,v16,13","0,525",1,"1,975",4,"0,55","1,025","2,025",4,"0,525",1,2,"4,025"
"vand.vi v8,v16,13,v0.t","0,475",1,2,"3,975","0,475","0,975",2,4,"0,475","0,975",2,4
"vor.vv v8,v16,v24","0,55","1,025","2,025",4,"0,5",1,2,4,"0,55","1,025",2,4
"vor.vv v8,v16,v24,v0.t","0,475","0,975",2,4,"0,525",1,2,"4,025","0,5","1,025","2,025",4
"vor.vx v8,v16,t0","2,325","2,325",3,"4,975","2,325","2,325",3,5,"2,3","2,3","2,975",5
"vor.vx v8,v16,t0,v0.t","2,325","2,325","2,975",5,"2,35","2,35",3,5,"2,325","2,325","2,975",5
"vor.vi v8,v16,13","0,55","1,025","2,025",4,"0,5",1,2,4,"0,55","1,025",2,4
"vor.vi v8,v16,13,v0.t","0,475","0,975",2,4,"0,525",1,2,4,"0,5","1,025","2,025",4
"vxor.vv v8,v16,v24","0,5",1,2,4,"0,5","0,975",2,4,"0,475","0,975",2,4
"vxor.vv v8,v16,v24,v0.t","0,525",1,2,4,"0,55","1,025",2,4,"0,55","1,025",2,4
"vxor.vx v8,v16,t0","2,325","2,325",3,5,"2,375","2,375","3,025","5,025","2,35","2,35","3,025","5,025"
"vxor.vx v8,v16,t0,v0.t","2,35","2,35",3,"5,025","2,325","2,325",3,5,"2,375","2,375","3,025","4,975"
"vxor.vi v8,v16,13","0,5",1,2,4,"0,475","0,975",2,4,"0,525",1,"1,975",4
"vxor.vi v8,v16,13,v0.t","0,525",1,2,4,"0,55","1,025",2,"4,025","0,475",1,2,4
"vrgather.vv v8,v16,v24","0,5","2,35",8,32,"0,525","2,3","7,975",32,"0,525","2,375","8,025","31,975"
"vrgather.vv v8,v16,v24,v0.t","0,55","2,325",8,"31,975","0,475","2,325",8,32,"0,475","2,35",8,32
"vrgather.vx v8,v16,t0","2,375","3,35","7,025","14,025","2,35","3,325",7,"13,975","2,325","3,3",7,14
"vrgather.vx v8,v16,t0,v0.t","2,325","3,325","6,975",14,"2,325","3,325","7,025","14,025","2,325","3,275",7,14
"vrgather.vi v8,v16,3","0,5","3,025",6,14,"0,525","2,975","5,975",14,"0,55","3,025","6,025","13,975"
"vrgather.vi v8,v16,3,v0.t","0,55",3,6,"13,975","0,475","2,975",6,14,"0,475",3,6,14
"vslideup.vx v8,v16,t0","2,375","3,375","6,525",23,"2,35","3,35","6,5",23,"2,325","3,325","6,5",23
"vslideup.vx v8,v16,t0,v0.t","2,325","3,325","6,45",23,"2,325","3,325","6,5","23,025","2,325","3,325","6,525",23
"vslideup.vi v8,v16,3","0,475","2,35","5,325","20,725","0,525","2,3","5,3","20,725","0,55","2,375","5,35","20,7"
"vslideup.vi v8,v16,3,v0.t","0,55","2,325","5,325","20,7","0,475","2,325","5,325","20,725","0,475","2,35","5,325","20,725"
"vslidedown.vx v8,v16,t0","2,375","3,375","6,2",23,"2,35","3,35","6,175",23,"2,325","3,325","6,175",23
"vslidedown.vx v8,v16,t0,v0.t","2,325","3,325","6,15",23,"2,325","3,325","6,175",23,"2,325","3,325","6,175",23
"vslidedown.vi v8,v16,3","0,475","2,35","5,35","19,975","0,525","2,3","5,275","20,025","0,55","2,375","5,35","19,975"
"vslidedown.vi v8,v16,3,v0.t","0,55","2,325","5,3",20,"0,475","2,325","5,325",20,"0,475","2,35","5,375",20
"vredsum.vs v8,v16,v24",1,2,"4,975","8,025","1,025","2,025","5,025",8,1,2,5,"8,025"
"vredsum.vs v8,v16,v24,v0.t",1,2,5,8,"0,975","1,975",5,8,1,2,5,8
"vredand.vs v8,v16,v24","1,025","2,025","4,525",8,1,2,"4,5",8,"0,975","1,975","4,5",8
"vredand.vs v8,v16,v24,v0.t","0,975","1,975","4,5",8,1,2,"4,5",8,"1,025","2,025","4,5",8
"vredor.vs v8,v16,v24",1,2,"4,5",8,"0,975","1,975","4,5","7,975",1,2,"4,475",8
"vredor.vs v8,v16,v24,v0.t",1,2,"4,5",8,"1,025","2,025","4,5",8,1,2,"4,5",8
"vredxor.vs v8,v16,v24","0,975","1,975","4,5","7,975",1,2,"4,475","8,025","1,025","2,025","4,525","7,975"
"vredxor.vs v8,v16,v24,v0.t","1,025","2,025","4,5",8,1,2,"4,5",8,"0,975","1,975","4,5",8
"vredminu.vs v8,v16,v24",1,2,"4,975","8,025","1,025","2,025","5,025",8,1,2,5,"8,025"
"vredminu.vs v8,v16,v24,v0.t",1,2,5,8,"0,975","1,975",5,8,1,2,5,8
"vredmin.vs v8,v16,v24","1,025","2,025","5,025",8,1,2,5,8,"0,975","1,975",5,8
"vredmin.vs v8,v16,v24,v0.t","0,975","1,975",5,8,1,2,5,8,"1,025","2,025",5,8
"vredmaxu.vs v8,v16,v24",1,2,5,8,"0,975","1,975",5,"7,975",1,2,"4,975",8
"vredmaxu.vs v8,v16,v24,v0.t",1,2,5,8,"1,025","2,025",5,8,1,2,5,8
"vredmax.vs v8,v16,v24","0,975","1,975",5,"7,975",1,2,"4,975","8,025","1,025","2,025","5,025","7,975"
"vredmax.vs v8,v16,v24,v0.t","1,025","2,025",5,8,1,2,5,8,"0,975","1,975",5,8
"vslide1up.vx v8,v16,t0","2,375","2,375","3,025",5,"2,35","2,35",3,5,"2,325","2,325",3,5
"vslide1up.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325",3,5,"2,325","2,325","2,975",5
"vslide1down.vx v8,v16,t0","2,325","3,325",4,"8,525","2,375","3,375","4,025","8,5","2,35","3,35",4,"8,525"
"vslide1down.vx v8,v16,t0,v0.t","2,35","3,35","4,025","8,475","2,325","3,325","3,975","8,5","2,325","3,325","3,975","8,475"
"vmseq.vv v8,v16,v24","0,5",1,3,8,"0,5","0,975",3,"7,975","0,525",1,"2,975",8
"vmseq.vv v8,v16,v24,v0.t","0,525",1,3,8,"0,55","1,025",3,8,"0,475",1,3,8
"vmseq.vx v8,v16,t0","2,325","2,325",3,"10,025","2,375","2,375","3,05",10,"2,35","2,35","3,025","10,025"
"vmseq.vx v8,v16,t0,v0.t","2,35","2,35","3,05","9,975","2,325","2,325","2,975","10,025","2,325","2,325","2,975","9,975"
"vmseq.vi v8,v16,13","0,5",1,"2,35",10,"0,5","0,975","2,35","9,975","0,525",1,"2,325",10
"vmseq.vi v8,v16,13,v0.t","0,525",1,"2,35",10,"0,55","1,025","2,35",10,"0,475",1,"2,35",10
"vmsne.vv v8,v16,v24","0,5","0,975",3,"7,975","0,525",1,"2,975","8,025","0,55","1,025","3,025","7,975"
"vmsne.vv v8,v16,v24,v0.t","0,55","1,025",3,8,"0,475",1,3,8,"0,475","0,975",3,8
"vmsne.vx v8,v16,t0","2,375","2,375","3,05",10,"2,35","2,35","3,025",10,"2,325","2,325","2,975",10
"vmsne.vx v8,v16,t0,v0.t","2,325","2,325","2,975","10,025","2,325","2,325","2,975",10,"2,325","2,325",3,"10,025"
"vmsne.vi v8,v16,13","0,5","0,975","2,35","9,975","0,525",1,"2,325","10,025","0,55","1,025","2,375","9,975"
"vmsne.vi v8,v16,13,v0.t","0,55","1,025","2,35",10,"0,475",1,"2,35",10,"0,475","0,975","2,35",10
"vmsltu.vv v8,v16,v24","0,525",1,"2,975","8,025","0,55","1,025","3,025",8,"0,5",1,3,"8,025"
"vmsltu.vv v8,v16,v24,v0.t","0,475",1,3,8,"0,475","0,975",3,8,"0,525",1,3,8
"vmsltu.vx v8,v16,t0","2,35","2,35","3,025",10,"2,325","2,325","2,975",10,"2,325","2,325",3,10
"vmsltu.vx v8,v16,t0,v0.t","2,325","2,325","2,975",10,"2,325","2,325",3,"9,975","2,35","2,35","3,05",10
"vmslt.vv v8,v16,v24","0,525",1,"2,975","8,025","0,55","1,025","3,025",8,"0,5",1,3,"8,025"
"vmslt.vv v8,v16,v24,v0.t","0,475",1,3,8,"0,475","0,975",3,8,"0,525",1,3,8
"vmslt.vx v8,v16,t0","2,35","2,35","3,025",10,"2,325","2,325","2,975",10,"2,325","2,325",3,10
"vmslt.vx v8,v16,t0,v0.t","2,325","2,325","2,975",10,"2,325","2,325","3,025","9,975","2,35","2,35","3,05",10
"vmsleu.vv v8,v16,v24","0,525",1,"2,975","8,025","0,55","1,025","3,025",8,"0,5",1,3,"8,025"
"vmsleu.vv v8,v16,v24,v0.t","0,475",1,3,8,"0,475","0,975",3,8,"0,525",1,3,8
"vmsleu.vx v8,v16,t0","2,35","2,35","3,025",10,"2,325","2,325","2,975",10,"2,325","2,325",3,10
"vmsleu.vx v8,v16,t0,v0.t","2,325","2,325","2,975",10,"2,325","2,325",3,"9,975","2,35","2,35","3,05",10
"vmsleu.vi v8,v16,13","0,525",1,"2,325","10,025","0,55","1,025","2,375",10,"0,5",1,"2,35","10,025"
"vmsleu.vi v8,v16,13,v0.t","0,5",1,"2,35",10,"0,475","0,975","2,35",10,"0,525",1,"2,35",10
"vmsle.vv v8,v16,v24","0,55","1,025","3,025",8,"0,5",1,3,8,"0,5","0,975",3,8
"vmsle.vv v8,v16,v24,v0.t","0,475","0,975",3,8,"0,525",1,3,8,"0,55","1,025",3,8
"vmsle.vx v8,v16,t0","2,325","2,325","2,975",10,"2,325","2,325",3,"10,025","2,375","2,375","3,05",10
"vmsle.vx v8,v16,t0,v0.t","2,325","2,325",3,"9,975","2,35","2,35","3,05","9,975","2,325","2,325","2,975","9,975"
"vmsle.vi v8,v16,13","0,55","1,025","2,375",10,"0,5",1,"2,35",10,"0,5","0,975","2,35",10
"vmsle.vi v8,v16,13,v0.t","0,475","0,975","2,35",10,"0,525",1,"2,35",10,"0,55","1,025","2,35",10
"vmsgtu.vx v8,v16,t0","2,325","2,325","2,975",10,"2,325","2,325",3,"10,025","2,375","2,375","3,025",10
"vmsgtu.vx v8,v16,t0,v0.t","2,325","2,325","3,025","9,975","2,35","2,35","3,025","9,975","2,325","2,325","2,975","9,975"
"vmsgtu.vi v8,v16,13","0,55","1,025","2,375",10,"0,5",1,"2,35",10,"0,5","0,975","2,35",10
"vmsgtu.vi v8,v16,13,v0.t","0,475","0,975","2,35",10,"0,525",1,"2,35",10,"0,55","1,025","2,35",10
"vmsgt.vx v8,v16,t0","2,325","2,325","2,975",10,"2,325","2,325",3,"10,025","2,375","2,375","3,05",10
"vmsgt.vx v8,v16,t0,v0.t","2,325","2,325",3,"9,975","2,35","2,35","3,05","9,975","2,325","2,325","2,975","9,975"
"vmsgt.vi v8,v16,13","0,55","1,025","2,375",10,"0,5",1,"2,35",10,"0,5","0,975","2,35",10
"vmsgt.vi v8,v16,13,v0.t","0,475","0,975","2,35",10,"0,525",1,"2,35",10,"0,55","1,025","2,35",10
"vmsbf.m v8,v16,v0.t","0,55","0,575","1,025","3,025","0,5","0,525",1,"2,975","0,475","0,5","0,95","3,025"
"vmsof.m v8,v16,v0.t","0,475","0,5","0,975","2,975","0,475","0,5","0,95",3,"0,525","0,55",1,"2,975"
"vmsif.m v8,v16,v0.t","0,5","0,525","0,975","3,025","0,55","0,55","1,025","3,025","0,5","0,525",1,"3,025"
"viota.m v8,v16,v0.t","0,55","1,025",2,4,"0,475",1,2,4,"0,475","0,975",2,4
"vcompress.vm v0,v8,v16","0,525","2,3","5,275","20,025","0,55","2,375","5,35",20,"0,5","2,325","5,325","20,025"
"vmandnot.mm v0,v8,v16","0,5","0,5","1,475","0,55","0,55","0,55","1,525","0,525","0,525","0,525","1,5","0,55"
"vmand.mm v0,v8,v16","0,5","0,5","1,475","0,5","0,525","0,525","1,5","0,55","0,55","0,55","1,525","0,525"
"vmor.mm v0,v8,v16","0,5","0,5","1,5","0,5","0,5","0,5","1,475","0,55","0,55","0,55","1,525","0,5"
"vmxor.mm v0,v8,v16","0,5","0,5","1,5","0,5","0,5","0,5","1,475","0,525","0,525","0,525","1,5","0,5"
"vmornot.mm v0,v8,v16","0,525","0,525","1,5","0,5","0,5","0,5","1,5","0,5","0,5","0,5","1,475","0,5"
"vmnand.mm v0,v8,v16","0,55","0,55","1,525","0,5","0,5","0,5","1,5","0,475","0,475","0,5","1,475","0,5"
"vmnor.mm v0,v8,v16","0,55","0,55","1,525","0,525","0,525","0,525","1,5","0,5","0,5","0,5","1,5","0,525"
"vmxnor.mm v0,v8,v16","0,5","0,5","1,475","0,55","0,525","0,525","1,5","0,5","0,5","0,5","1,5","0,55"
"vsaddu.vv v8,v16,v24","0,5",1,2,4,"0,475",1,2,4,"0,5",1,2,4
"vsaddu.vv v8,v16,v24,v0.t","0,525","1,025",2,4,"0,475",1,2,"3,975","0,525","0,975","1,975",4
"vsaddu.vx v8,v16,t0","2,325","2,325",3,5,"2,325","2,325",3,5,"2,35","2,35","3,025",5
"vsaddu.vx v8,v16,t0,v0.t","2,325","2,325",3,"5,025","2,325","2,325","2,975",5,"2,325","2,325","2,975",5
"vsaddu.vi v8,v16,13","0,475","0,975",2,4,"0,475",1,"1,975",4,"0,5",1,2,"3,975"
"vsaddu.vi v8,v16,13,v0.t","0,55",1,2,4,"0,525","1,025",2,"3,975","0,525","0,975","1,975",4
"vsadd.vv v8,v16,v24","0,5",1,2,4,"0,475","0,975",2,4,"0,475",1,2,4
"vsadd.vv v8,v16,v24,v0.t","0,475","0,975",2,"3,975","0,55",1,2,4,"0,525","1,025",2,4
"vsadd.vx v8,v16,t0","2,35","2,35",3,5,"2,325","2,325",3,"4,975","2,3","2,3","2,975",5
"vsadd.vx v8,v16,t0,v0.t","2,325","2,325",3,5,"2,325","2,325",3,5,"2,35","2,35","3,025","4,975"
"vsadd.vi v8,v16,13","0,475",1,2,4,"0,475","0,975",2,4,"0,475",1,2,4
"vsadd.vi v8,v16,13,v0.t","0,475","0,975",2,"3,975","0,55",1,2,4,"0,525","1,025",2,4
"vssubu.vv v8,v16,v24","0,525","1,025","2,025",4,"0,5",1,2,4,"0,475","0,975",2,"4,025"
"vssubu.vv v8,v16,v24,v0.t","0,5",1,2,4,"0,475","0,975",2,"4,025","0,525","1,025","2,025",4
"vssubu.vx v8,v16,t0","2,375","2,375","3,025","4,975","2,35","2,35",3,5,"2,35","2,35",3,"5,025"
"vssubu.vx v8,v16,t0,v0.t","2,35","2,35",3,5,"2,325","2,325",3,5,"2,325","2,325",3,5
"vssub.vv v8,v16,v24","0,525","1,025","2,025",4,"0,475",1,2,4,"0,475","0,975",2,"4,025"
"vssub.vv v8,v16,v24,v0.t","0,475","0,975",2,4,"0,55",1,2,"4,025","0,525","1,025","2,025",4
"vssub.vx v8,v16,t0","2,325","2,325",3,"4,975","2,325","2,325",3,5,"2,35","2,35",3,"5,025"
"vssub.vx v8,v16,t0,v0.t","2,325","2,325","2,975",5,"2,35","2,35",3,5,"2,325","2,325",3,5
"vaadd.vv v8,v16,v24","0,55","1,025","2,025",4,"0,5",1,2,4,"0,5","0,975",2,4
"vaadd.vv v8,v16,v24,v0.t","0,475","0,975",2,4,"0,525",1,2,"4,025","0,5","1,025","2,025",4
"vaadd.vx v8,v16,t0","2,325","2,325",3,"4,975","2,325","2,325",3,5,"2,35","2,35",3,5
"vaadd.vx v8,v16,t0,v0.t","2,325","2,325","2,975",5,"2,35","2,35",3,5,"2,325","2,325",3,5
"vaadd.vi v8,v16,13","0,55","1,025","2,025",4,"0,5",1,2,4,"0,5","0,975",2,4
"vaadd.vi v8,v16,13,v0.t","0,475","0,975",2,4,"0,525",1,2,"4,025","0,5","1,025","2,025",4
"vsll.vv v8,v16,v24",1,2,4,8,"0,975","1,975",4,8,"1,025","2,025",4,8
"vsll.vv v8,v16,v24,v0.t",1,2,4,"8,025","1,025","2,025",4,8,"0,975","1,975",4,8
"vsll.vx v8,v16,t0","2,325",3,5,9,"2,375","3,025","5,025",9,"2,325","2,975","4,975","9,025"
"vsll.vx v8,v16,t0,v0.t","2,35",3,5,9,"2,325",3,5,"9,025","2,375","3,025","5,025","8,975"
"vsll.vi v8,v16,13",1,2,4,8,"0,975","1,975",4,8,"1,025","2,025",4,8
"vsll.vi v8,v16,13,v0.t",1,2,4,"8,025","1,025","2,025",4,8,"0,975","1,975",4,8
"vasub.vv v8,v16,v24","0,5","0,975",2,4,"0,525",1,"1,975",4,"0,525",1,2,"3,975"
"vasub.vv v8,v16,v24,v0.t","0,55","1,025",2,4,"0,475",1,2,"3,975","0,5","0,975","1,975",4
"vasub.vx v8,v16,t0","2,375","2,375","3,025",5,"2,35","2,35",3,5,"2,35","2,35","3,025",5
"vasub.vx v8,v16,t0,v0.t","2,325","2,325",3,"5,025","2,325","2,325",3,5,"2,325","2,325","2,975",5
"vsmul.vv v8,v16,v24","0,975","1,975",4,8,1,2,"3,975",8,1,2,4,"7,975"
"vsmul.vv v8,v16,v24,v0.t","1,025","2,025",4,8,1,2,4,8,"0,975","1,975","3,975",8
"vsmul.vx v8,v16,t0","2,375","2,375","4,025",8,"2,35","2,35",4,8,"2,35","2,35",4,8
"vsmul.vx v8,v16,t0,v0.t","2,325","2,325","3,975",8,"2,325","2,325",4,8,"2,325","2,325",4,8
"vsrl.vv v8,v16,v24","0,975","1,975",4,8,1,2,"3,975",8,1,2,4,"7,975"
"vsrl.vv v8,v16,v24,v0.t","1,025","2,025",4,"8,025",1,2,4,8,"0,975","1,975","3,975",8
"vsrl.vx v8,v16,t0","2,375","3,025","5,025",9,"2,35",3,5,9,"2,35","3,025","5,025",9
"vsrl.vx v8,v16,t0,v0.t","2,325",3,5,9,"2,325",3,5,9,"2,325","2,975","4,975",9
"vsrl.vi v8,v16,13","0,975","1,975",4,8,1,2,"3,975",8,1,2,4,"7,975"
"vsrl.vi v8,v16,13,v0.t","1,025","2,025",4,"8,025",1,2,4,8,"0,975","1,975","3,975",8
"vsra.vv v8,v16,v24",1,2,"3,975",8,"1,025","2,025","4,025",8,1,2,4,"8,025"
"vsra.vv v8,v16,v24,v0.t",1,2,4,8,"0,975","1,975",4,"8,025","1,025","2,025",4,8
"vsra.vx v8,v16,t0","2,35",3,5,9,"2,325",3,5,9,"2,3","2,975","4,975",9
"vsra.vx v8,v16,t0,v0.t","2,325",3,5,"9,025","2,325","2,975","4,975",9,"2,35","3,025","5,025",9
